vdd,gm,Av
60,5.218725549883065e-07,0.6483211955724307
70,8.258288882521698e-07,1.129732347757958
80,1.2078769753457838e-06,1.6375780199298677
90,1.3931852177011678e-06,1.7838077995457537
100,1.4232000315439669e-06,1.7716252380542745
110,1.4038372914206758e-06,1.743226968545656
120,1.3842747928556524e-06,1.7260161075903768
130,1.3737754075867608e-06,1.7199505988457182
140,1.3710235344045547e-06,1.7208792201642964
150,1.3732704221970392e-06,1.723873819831109
160,1.3792200592026229e-06,1.72736489502036
170,1.3877873426595237e-06,1.7302642601967706
180,1.4007993622895891e-06,1.7392981582294504
190,1.4167761978352982e-06,1.7519391575908851
200,1.4396263964540164e-06,1.7853728781113551
