vdd,gm,Av
60,3.9305932854719985e-07,0.42450237821363696
70,5.745168373755688e-07,0.6758217364767166
80,7.675858570722619e-07,0.9474251575369321
90,9.383429379092865e-07,1.1833621949695647
100,1.0750018142189897e-06,1.3657652920948995
110,1.1790762398351052e-06,1.5009597704653639
120,1.2578584300063333e-06,1.6027272328282858
130,1.3185820932070802e-06,1.6817091861492073
140,1.366638467263964e-06,1.744200957882321
150,1.405753449571038e-06,1.7940584260120946
160,1.438967736816873e-06,1.8346123008839934
170,1.4675201865733698e-06,1.8686309368337182
180,1.4971127327160366e-06,1.89958424504452
190,1.5178961665777942e-06,1.9262944871735759
200,1.5441190330540732e-06,1.9536234554363143
