vdd,LVT schmitt trigger,LVT CMOS,NVT with n-type feedback,NVT schmitt trigger,LVT with p-type feedback
10,6.196774695408193e-08,1.312553086243848e-07,1.2196831483809683e-05,3.1769007987009945e-06,1.9275878919100213e-07
20,2.390809140575987e-08,7.206800930974724e-08,2.4981464084018122e-05,5.816505083918568e-06,1.263979629161577e-07
30,2.0344882684727717e-08,1.783945222375466e-07,3.9395374496363775e-05,8.787449035521198e-06,1.536564392960765e-07
40,2.63781609925785e-08,4.3520564426269744e-07,5.567839253783282e-05,1.216296470256264e-05,6.645560022287053e-08
50,4.937239669159359e-08,6.448236985518179e-07,7.40478693688182e-05,1.5945079830328658e-05,2.8449255492873603e-08
60,7.586828759878446e-08,8.82269897024921e-07,9.478785225989556e-05,2.0188901286281227e-05,1.443569547603173e-08
70,6.869576460822087e-08,1.0264513630469166e-06,0.00011822553405244693,2.4909504259336386e-05,7.255396872337498e-08
80,1.0396552394371003e-07,1.3469404821932231e-06,0.0001447237700803855,3.0202904782861507e-05,1.2194561514570492e-08
90,1.447379751564072e-07,1.721493850124494e-06,0.00017470380213560404,3.609653376608267e-05,6.168310954628887e-08
100,1.8887715248220328e-07,2.160600066330626e-06,0.0002086544040957536,4.26538477499774e-05,1.4988212936305855e-07
110,2.455235454564232e-07,2.676593520524448e-06,0.00024713913862183315,4.9949531717705685e-05,2.509426286687132e-07
120,3.124924146122946e-07,3.2838984744092467e-06,0.00029080273632789346,5.807243604623668e-05,3.7253635552604556e-07
130,3.8513944798946273e-07,3.9994436336537176e-06,0.000340380872878984,6.712421136961115e-05,5.223589747315703e-07
140,4.824670826160266e-07,4.84310837866013e-06,0.0003967119551207452,7.722239421562695e-05,7.082473075551353e-07
150,5.96018971066517e-07,5.838136385955747e-06,0.00046074716189326486,8.849800318798501e-05,9.396680436825659e-07
160,7.35301637699228e-07,7.011786586669956e-06,0.0005335578457474158,0.00010110414587977511,1.2278131819101938e-06
170,9.030832377976247e-07,8.395949266388754e-06,0.0006163542994435744,0.00011521123805470383,1.5979745233568535e-06
180,1.107119682616859e-06,1.0027818404929989e-05,0.0007104920164092606,0.00013101214238244073,2.055860215011834e-06
190,1.352077553957561e-06,1.1950799278810601e-05,0.0008174867868691165,0.00014872444569733826,2.6214307639281765e-06
200,1.6414952312123628e-06,1.4215419141685864e-05,0.0009390273393933438,0.00016859289915253074,3.3210496911616503e-06
210,1.984133376681998e-06,1.6880186108489538e-05,0.001076975579282296,0.00019089043441901482,4.183905734641557e-06
220,2.21896941669839e-06,1.9563499850634322e-05,0.0012355488796537304,0.0002161609444003686,4.720259253842784e-06
230,2.680349312485165e-06,2.3249780802624708e-05,0.0014132141714870046,0.00024434587447980224,6.007517838912854e-06
240,3.217610126494276e-06,2.7575152295357738e-05,0.0016141967893521345,0.000275990373274344,7.595464040564708e-06
250,3.8449624605297185e-06,3.264595882570964e-05,0.0018412783212066752,0.0003115161707827849,9.550497368036173e-06
260,4.535147124219732e-06,3.858381746128367e-05,0.002097499714890316,0.0003513862918828324,1.1955201560286372e-05
270,5.484044291283537e-06,4.552671400505065e-05,0.0023860683548436196,0.00039608934923325995,1.49087024028955e-05
280,6.494430174844127e-06,5.363515542263659e-05,0.0027105480597871823,0.00044617151677513433,1.853202022520051e-05
290,7.68943408522265e-06,6.309286701979702e-05,0.0030748610493081517,0.0005022403104589464,2.2980363133641802e-05
300,9.686885385170727e-06,7.49925300569725e-05,0.003477905096547674,0.0005642772279939054,2.9479974942651103e-05
