Model,Lmin (µm),Lmax (µm),Wmin (µm),Wmax (µm)
['model.0'],9.95e-07,1.005e-06,9.95e-07,1.005e-6
['model.1'],1.995e-06,2.005e-06,9.95e-07,1.005e-6
['model.2'],3.995e-06,6.005e-06,9.95e-07,2.085e-6
['model.3'],1.45e-07,1.55e-07,9.95e-07,1.005e-6
['model.4'],1.75e-07,1.85e-07,9.95e-07,1.005e-6
['model.5'],2.45e-07,2.55e-07,9.95e-07,1.005e-6
['model.6'],4.95e-07,5.05e-07,9.95e-07,1.005e-6
['model.7'],9.95e-07,1.005e-06,2.995e-06,3.005e-6
['model.8'],1.995e-06,2.005e-06,2.995e-06,3.005e-6
['model.9'],3.995e-06,6.005e-06,2.205e-06,3.005e-6
['model.10'],1.45e-07,1.55e-07,2.995e-06,3.005e-6
['model.11'],1.75e-07,1.85e-07,2.995e-06,3.005e-6
['model.12'],2.45e-07,2.55e-07,2.995e-06,3.005e-6
['model.13'],4.95e-07,5.05e-07,2.995e-06,3.005e-6
['model.14'],9.95e-07,1.005e-06,4.995e-06,5.005e-6
['model.15'],1.995e-06,2.005e-06,4.995e-06,5.005e-6
['model.16'],3.995e-06,6.005e-06,3.665e-06,5.005e-6
['model.17'],1.45e-07,1.55e-07,4.995e-06,5.005e-6
['model.18'],1.75e-07,1.85e-07,4.995e-06,5.005e-6
['model.19'],2.45e-07,2.55e-07,4.995e-06,5.005e-6
['model.20'],4.95e-07,5.05e-07,4.995e-06,5.005e-6
['model.21'],9.95e-07,1.005e-06,6.995e-06,7.005e-6
['model.22'],1.995e-06,2.005e-06,6.995e-06,7.005e-6
['model.23'],7.995e-06,8.005e-06,6.995e-06,7.005e-6
['model.24'],1.45e-07,1.55e-07,6.995e-06,7.005e-6
['model.25'],1.75e-07,1.85e-07,6.995e-06,7.005e-6
['model.26'],2.45e-07,2.55e-07,6.995e-06,7.005e-6
['model.27'],4.95e-07,5.05e-07,6.995e-06,7.005e-6
['model.28'],9.95e-07,1.005e-06,4.15e-07,4.25e-7
['model.29'],1.45e-07,1.55e-07,4.15e-07,4.25e-7
['model.30'],1.75e-07,1.85e-07,4.15e-07,4.25e-7
['model.31'],1.45e-07,1.55e-07,5.45e-07,5.55e-7
['model.32'],1.45e-07,1.55e-07,6.35e-07,6.45e-7
['model.33'],1.45e-07,1.55e-07,8.35e-07,8.45e-7
['model.34'],1.45e-07,1.55e-07,1.645e-06,1.655e-6
['model.35'],1.45e-07,1.55e-07,3.005e-06,3.015e-6
['model.36'],1.45e-07,1.55e-07,5.045e-06,5.055e-6
['model.37'],2.45e-07,2.55e-07,5.045e-06,5.055e-6
['model.38'],1.45e-07,1.55e-07,7.35e-07,7.45e-7
