Model,Lmin (µm),Lmax (µm),Wmin (µm),Wmax (µm)
['model.0'],9.95e-07,1.005e-06,9.95e-07,1.005e-6
['model.1'],1.995e-06,2.005e-06,9.95e-07,1.005e-6
['model.2'],3.995e-06,4.005e-06,9.95e-07,1.005e-6
['model.3'],7.995e-06,8.005e-06,9.95e-07,1.005e-6
['model.4'],3.45e-07,3.55e-07,9.95e-07,1.005e-6
['model.5'],4.95e-07,5.05e-07,9.95e-07,1.005e-6
['model.6'],1.495e-06,1.505e-06,2.995e-06,3.005e-6
['model.7'],9.95e-07,1.005e-06,2.995e-06,3.005e-6
['model.8'],1.995e-06,2.005e-06,2.395e-06,3.005e-6
['model.9'],3.995e-06,4.005e-06,1.765e-06,3.005e-6
['model.10'],7.995e-06,8.005e-06,2.995e-06,3.005e-6
['model.11'],3.45e-07,3.55e-07,2.995e-06,3.005e-6
['model.12'],4.95e-07,5.05e-07,2.995e-06,3.005e-6
['model.13'],1.495e-06,1.505e-06,4.995e-06,5.005e-6
['model.14'],9.95e-07,1.005e-06,4.995e-06,5.005e-6
['model.15'],1.995e-06,2.005e-06,3.370e-06,5.005e-6
['model.16'],3.995e-06,4.005e-06,4.995e-06,5.005e-6
['model.17'],7.995e-06,8.005e-06,4.995e-06,5.005e-6
['model.18'],3.45e-07,3.55e-07,4.995e-06,5.005e-6
['model.19'],4.95e-07,5.05e-07,4.995e-06,5.005e-6
['model.20'],1.495e-06,1.505e-06,6.995e-06,7.005e-6
['model.21'],9.95e-07,1.005e-06,6.995e-06,7.005e-6
['model.22'],1.995e-06,2.005e-06,6.995e-06,7.005e-6
['model.23'],3.995e-06,4.005e-06,6.995e-06,7.005e-6
['model.24'],7.995e-06,8.005e-06,6.995e-06,7.005e-6
['model.25'],3.45e-07,3.55e-07,6.995e-06,7.005e-6
['model.26'],4.95e-07,5.05e-07,6.995e-06,7.005e-6
['model.27'],9.95e-07,1.005e-06,4.15e-07,4.25e-7
['model.28'],1.9995e-05,2.0005e-05,4.15e-07,4.25e-7
['model.29'],1.995e-06,2.005e-06,4.15e-07,4.25e-7
['model.30'],3.995e-06,4.005e-06,4.15e-07,4.25e-7
['model.31'],7.995e-06,8.005e-06,4.15e-07,4.25e-7
['model.32'],3.45e-07,3.55e-07,4.15e-07,4.25e-7
['model.33'],4.95e-07,5.05e-07,4.15e-07,4.25e-7
['model.34'],9.95e-07,1.005e-06,5.45e-07,5.55e-7
['model.35'],1.995e-06,2.005e-06,5.45e-07,5.55e-7
['model.36'],3.995e-06,4.005e-06,5.45e-07,5.55e-7
['model.37'],7.995e-06,8.005e-06,5.45e-07,5.55e-7
['model.38'],3.45e-07,3.55e-07,5.45e-07,5.55e-7
['model.39'],4.95e-07,5.05e-07,5.45e-07,5.55e-7
