Model,Lmin (µm),Lmax (µm),Wmin (µm),Wmax (µm)
['model.0'],1.45e-07,1.55e-07,1.255e-06,1.265e-6
['model.1'],1.45e-07,1.55e-07,1.675e-06,1.685e-6
['model.2'],9.95e-07,1.005e-06,9.95e-07,1.005e-6
['model.3'],1.995e-06,2.005e-06,9.95e-07,1.005e-6
['model.4'],3.995e-06,4.005e-06,9.95e-07,1.005e-6
['model.5'],7.995e-06,8.005e-06,9.95e-07,1.005e-6
['model.6'],1.45e-07,1.55e-07,9.95e-07,1.005e-6
['model.7'],1.75e-07,1.85e-07,9.95e-07,1.005e-6
['model.8'],2.45e-07,2.55e-07,9.95e-07,1.005e-6
['model.9'],4.95e-07,5.05e-07,9.95e-07,1.005e-6
['model.10'],1.45e-07,1.55e-07,1.995e-06,2.005e-6
['model.11'],9.95e-07,1.005e-06,2.995e-06,3.005e-6
['model.12'],1.995e-06,2.005e-06,2.995e-06,3.005e-6
['model.13'],3.995e-06,4.005e-06,2.995e-06,3.005e-6
['model.14'],7.995e-06,8.005e-06,2.995e-06,3.005e-6
['model.15'],1.45e-07,1.55e-07,2.995e-06,3.005e-6
['model.16'],1.75e-07,1.85e-07,2.995e-06,3.005e-6
['model.17'],2.45e-07,2.55e-07,2.995e-06,3.005e-6
['model.18'],4.95e-07,5.05e-07,2.995e-06,3.005e-6
['model.19'],9.95e-07,1.005e-06,4.995e-06,5.005e-6
['model.20'],1.995e-06,2.005e-06,4.995e-06,5.005e-6
['model.21'],3.995e-06,4.005e-06,4.995e-06,5.005e-6
['model.22'],7.995e-06,8.005e-06,4.995e-06,5.005e-6
['model.23'],1.45e-07,1.55e-07,4.995e-06,5.005e-6
['model.24'],1.75e-07,1.85e-07,4.995e-06,5.005e-6
['model.25'],2.45e-07,2.55e-07,4.995e-06,5.005e-6
['model.26'],4.95e-07,5.05e-07,4.995e-06,5.005e-6
['model.27'],9.95e-07,1.005e-06,6.995e-06,7.005e-6
['model.28'],1.995e-06,2.005e-06,6.995e-06,7.005e-6
['model.29'],3.995e-06,4.005e-06,6.995e-06,7.005e-6
['model.30'],7.995e-06,8.005e-06,6.995e-06,7.005e-6
['model.31'],1.45e-07,1.55e-07,6.995e-06,7.005e-6
['model.32'],1.75e-07,1.85e-07,6.995e-06,7.005e-6
['model.33'],2.45e-07,2.55e-07,6.995e-06,7.005e-6
['model.34'],4.95e-07,5.05e-07,6.995e-06,7.005e-6
['model.35'],9.95e-07,1.005e-06,4.15e-07,4.25e-7
['model.36'],1.9995e-05,2.0005e-05,4.15e-07,4.25e-7
['model.37'],1.995e-06,2.005e-06,4.15e-07,4.25e-7
['model.38'],3.995e-06,4.005e-06,4.15e-07,4.25e-7
['model.39'],7.995e-06,8.005e-06,4.15e-07,4.25e-7
['model.40'],1.45e-07,1.55e-07,4.15e-07,4.25e-7
['model.41'],1.75e-07,1.85e-07,4.15e-07,4.25e-7
['model.42'],4.95e-07,5.05e-07,4.15e-07,4.25e-7
['model.43'],9.95e-07,1.005e-06,5.45e-07,5.55e-7
['model.44'],1.995e-06,2.005e-06,5.45e-07,5.55e-7
['model.45'],3.995e-06,4.005e-06,5.45e-07,5.55e-7
['model.46'],7.995e-06,8.005e-06,5.45e-07,5.55e-7
['model.47'],1.45e-07,1.55e-07,5.45e-07,5.55e-7
['model.48'],4.95e-07,5.05e-07,5.45e-07,5.55e-7
['model.49'],1.45e-07,1.55e-07,6.35e-07,6.45e-7
['model.50'],1.45e-07,1.55e-07,8.35e-07,8.45e-7
['model.51'],1.45e-07,1.55e-07,1.645e-06,1.655e-6
['model.52'],1.65e-07,1.75e-07,4.15e-07,4.25e-7
['model.53'],1.75e-07,1.85e-07,5.45e-07,5.55e-7
['model.54'],1.65e-07,1.75e-07,5.45e-07,5.55e-7
['model.55'],1.65e-07,1.75e-07,6.35e-07,6.45e-7
['model.56'],1.75e-07,1.85e-07,6.35e-07,6.45e-7
['model.57'],1.75e-07,1.85e-07,8.35e-07,8.45e-7
['model.58'],1.65e-07,1.75e-07,8.35e-07,8.45e-7
['model.59'],1.75e-07,1.85e-07,1.115e-06,1.125e-6
['model.60'],1.75e-07,1.85e-07,1.255e-06,1.265e-6
['model.61'],1.65e-07,1.75e-07,9.95e-07,1.005e-6
['model.62'],1.65e-07,1.75e-07,1.115e-06,1.125e-6
['model.63'],1.75e-07,1.85e-07,1.675e-06,1.685e-6
['model.64'],1.75e-07,1.85e-07,1.995e-06,2.005e-6
['model.65'],1.45e-07,1.55e-07,1.115e-06,1.125e-6
