VDD,Cin
0.1,1.1913505190524008e-13
0.105,1.190935481018627e-13
0.11,1.190516732047402e-13
0.115,1.1900955054657293e-13
0.12,1.1896733456551851e-13
0.125,1.1892524135065299e-13
0.13,1.1888338288273962e-13
0.135,1.1884197164245017e-13
0.14,1.1880118455147776e-13
0.145,1.1876118466215357e-13
0.15,1.1872212030015185e-13
0.155,1.1868412470536226e-13
0.16,1.1864731695614186e-13
0.165,1.1861180363232735e-13
0.17,1.185776807957645e-13
0.175,1.1854503600019427e-13
0.18,1.1851394936252357e-13
0.185,1.1848449669214895e-13
0.19,1.18456750976901e-13
0.195,1.184307821049851e-13
0.2,1.184066584481759e-13
0.205,1.183843477658497e-13
