VDD,Cin_L
0.1,1.4167891316928914e-13
0.105,1.4166660277414458e-13
0.11,1.4165145730679022e-13
0.115,1.416338672431427e-13
0.12,1.4161424179604873e-13
0.125,1.4159303303677327e-13
0.13,1.415705427998174e-13
0.135,1.4154715726377993e-13
0.14,1.415231882751865e-13
0.145,1.4149891011380293e-13
0.15,1.4147456169201023e-13
0.155,1.4145035093712724e-13
0.16,1.414264598152236e-13
0.165,1.414030492987188e-13
0.17,1.4138026388824913e-13
0.175,1.413582355373142e-13
0.18,1.4133708610308487e-13
0.185,1.413169313163654e-13
0.19,1.4129788308360827e-13
0.195,1.41280049640946e-13
0.2,1.4126353735313416e-13
0.205,1.4124834940166025e-13
