VDD,Cin_LL
0.1,2.278936380491962e-13
0.105,2.2794784488177535e-13
0.11,2.2799588766435705e-13
0.115,2.2803791043000603e-13
0.12,2.280742075439198e-13
0.125,2.2810623814680937e-13
0.13,2.2813198759466835e-13
0.135,2.281523616417346e-13
0.14,2.281680219022898e-13
0.145,2.2817931410427984e-13
0.15,2.2818658646235994e-13
0.155,2.2819017004961657e-13
0.16,2.281903919870072e-13
0.165,2.281875698596179e-13
0.17,2.2818201515915827e-13
0.175,2.281740296416137e-13
0.18,2.281639024762176e-13
0.185,2.281519287608794e-13
0.19,2.2813840953468354e-13
0.195,2.281236304051914e-13
0.2,2.281078812620646e-13
0.205,2.2809354336701676e-13
