VDD,Cout_L,Rout_L
0.1,9.109529791861022e-14,137144.16891073817
0.105,9.085015238400863e-14,145227.12461369537
0.11,9.059848945411058e-14,157480.21027877723
0.115,9.035616345600817e-14,167855.506272577
0.12,9.012107207925429e-14,178543.87720799597
0.125,8.989238816446217e-14,189609.9068208053
0.13,8.967592147853209e-14,200169.81336139658
0.135,8.946300125279068e-14,211987.57707320864
0.14,8.925794355789517e-14,224360.8655679129
0.145,8.90606985989886e-14,237433.94815722853
0.15,8.887148927468608e-14,251350.09742031593
0.155,8.867862636653044e-14,266747.96678682626
0.16,8.851592173868926e-14,282714.98297792417
0.165,8.834903998696747e-14,300788.16845203115
0.17,8.81897213378358e-14,321088.1856069163
0.175,8.801755839531145e-14,341620.77472791035
0.18,8.789121808716847e-14,371307.10135914915
0.185,8.772377343747684e-14,395358.77607613814
0.19,8.758437148230807e-14,429058.1686272767
0.195,8.745083764596292e-14,469936.39076529955
0.2,8.732121265801968e-14,519712.55164089834
0.205,8.71961083373638e-14,582693.0185097079
