VDD,Cout,Rout
0.05,7.823246272528111e-13,21756.20121477053
0.06,7.776417017601244e-13,23239.574416935753
0.07,7.733268252621951e-13,24928.525510311767
0.08,7.692874283163873e-13,26870.04862194419
0.09,7.654936892442148e-13,29113.246397544037
0.1,7.619333575416217e-13,31716.084495496252
0.11,7.585959683729185e-13,34763.901246417896
0.12,7.554828990925451e-13,38386.41626299752
0.13,7.525711392888627e-13,42788.47181696198
0.14,7.498417443829354e-13,48288.01570887647
0.15,7.472734045141004e-13,55397.584895040556
0.16,7.448465757073183e-13,64971.980773054886
0.17,7.425428046358169e-13,78561.98723759403
0.18,7.403451674410736e-13,99319.31713672343
0.19,7.382396893645242e-13,134723.12524427916
0.2,7.362132021592358e-13,208195.8383755607
