VDD,Cout_L,Rout_L
0.1,1.0793576018675456e-13,199020.51020504057
0.105,1.0757083283822462e-13,212719.37326334606
0.11,1.0722911933743537e-13,226181.80732645543
0.115,1.0687251495344999e-13,242654.02437866267
0.12,1.0654118786797897e-13,259197.72702248188
0.125,1.0622544816200762e-13,276981.54802266654
0.13,1.0594870511030569e-13,296133.69860241923
0.135,1.0563382185293332e-13,318014.8209392735
0.14,1.0535852417666219e-13,342190.93255526875
0.145,1.0509873926491116e-13,369816.72643906804
0.15,1.0485043811650236e-13,401744.5540605799
0.155,1.0467995361413472e-13,450464.08870568656
0.16,1.0439227934631476e-13,485359.528669223
0.165,1.0418028980221619e-13,542183.5552761611
0.17,1.039779029547248e-13,614519.8585559239
0.175,1.037862660646669e-13,711395.4073181268
0.18,1.036031841710482e-13,846734.7610972689
0.185,1.03428091421388e-13,1049633.1476732208
0.19,1.032624210539109e-13,1396193.0191523696
0.195,1.0310181678137601e-13,2089117.385291699
0.2,1.0294768136327923e-13,4233679.836531282
0.205,1.0279959539159296e-13,-85449896.39569888
