VDD,Cout_LL,Rout_LL
0.05,2.183963713422102e-12,22404.78677747919
0.06,2.1339714641778204e-12,24159.820922939136
0.07,2.088593558918595e-12,26201.124656465534
0.08,2.047276387686907e-12,28615.779162197025
0.09,2.009684682594175e-12,31532.893149666445
0.1,1.9756850282642223e-12,35120.997404238915
0.11,1.9449846825383768e-12,39630.84160889709
0.12,1.9173688527992407e-12,45444.68242057836
0.13,1.8926520322165522e-12,53197.91193433337
0.14,1.870526741818487e-12,64077.642934773525
0.15,1.8507143691620084e-12,80524.61394298542
0.16,1.832910770377812e-12,108456.89549533345
0.17,1.8168389957372689e-12,166630.10029977397
0.18,1.8022469280845082e-12,365033.7471067434
0.19,1.7889255644431198e-12,1761974.7589833273
0.2,1.7766967002139976e-12,255270.75407551884
