VDD,Kss_Tl,Kff_Tl,Ksf_Tl,Kfs_Tl,Kss_Th,Kff_Th,Ksf_Th,Kfs_Th
0.05277,1.871591613756239e-05,0.00035373379588545466,2.223240660900096e-05,0.000686718957769092,2.9613980472486637e-05,0.0005678771825480451,2.4855411516675433e-05,0.0009722968923010386
0.06,2.2345811419784462e-05,0.0004152995915273227,2.5892779148152537e-05,0.0008012988900048456,3.516870863653941e-05,0.0006636631959203527,2.8994260976740365e-05,0.0011286831035385758
0.07,2.7846242072368512e-05,0.0005064194740661053,3.120629342358497e-05,0.0009685711404721352,4.355211382493784e-05,0.0008039953681914017,3.5042885621270994e-05,0.0013545046948800748
0.08,3.392482459657463e-05,0.0006049548414320974,3.6816241892311744e-05,0.0011463098627584203,5.2787813772632804e-05,0.0009538071751164908,4.148722207927521e-05,0.0015914410954103
0.09,4.060120812439153e-05,0.0007112257321269872,4.281839116089564e-05,0.001334773933747988,6.292746317228764e-05,0.001113550037437353,4.8350862119508245e-05,0.0018395164361260507
0.1,4.7891207136812754e-05,0.0008256544572803439,4.925239453531548e-05,0.0015342017943697508,7.402382116143928e-05,0.0012834781477893398,5.572797482693565e-05,0.002098734821131456
0.11,5.580805403682246e-05,0.0009486652218335253,5.606433152596458e-05,0.0017448008202847914,8.613125291873623e-05,0.001463922011456797,6.369222005856006e-05,0.002369050338330144
0.12,6.436761532275556e-05,0.0010806755493071051,6.326550005231166e-05,0.0019667560940308687,9.930502295203773e-05,0.0016551890296739728,7.220783373936431e-05,0.002650391305832278
0.13,7.358957783493434e-05,0.0012221037945516068,7.086210333064704e-05,0.002175575430184701,0.00011360615872520859,0.0018399124039245203,8.13091895761659e-05,0.002905185201395953
0.14,8.28644093045779e-05,0.0013585158410368689,7.795563481586472e-05,0.002417608139584707,0.00012816059726129873,0.0020462543412651424,9.007630462310683e-05,0.0032039941262655557
0.15,9.333151301764114e-05,0.0015175656497327529,8.622576057442836e-05,0.002671392672882317,0.00014458090735049614,0.0022684920163910157,0.00010025834810882901,0.003513606889557418
