VDD,gm
0.1,6.0067549365421475e-06
0.105,6.4532102833170915e-06
0.11,6.6613922313732465e-06
0.115,7.056809996471812e-06
0.12,7.486834636986678e-06
0.125,7.856801486999604e-06
0.13,8.408171239402347e-06
0.135,8.942345728196223e-06
0.14,9.514875573269237e-06
0.145,1.0124260570212783e-05
0.15,1.0773760149276383e-05
0.155,1.1356874164989575e-05
0.16,1.2189802797898602e-05
0.165,1.2956503001506555e-05
0.17,1.3769410775832743e-05
0.175,1.4471869014869282e-05
0.18,1.552532041397468e-05
0.185,1.6268156209033214e-05
0.19,1.7225985983890578e-05
0.195,1.8233737784622448e-05
0.2,1.9281263142720535e-05
0.205,2.0375401176989267e-05
