beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.01,0.01,0.007052699785104278,1,1,188,-2.065466310468599e-05,290,-2.4185788178789217e-08
0.01,0.011937766417144363,0.006964079816762875,1,1,185,-2.0492303269705535e-05,287,-2.4337652339317737e-08
0.01,0.014251026703029978,0.006861257801803762,1,1,183,-2.0384063379718605e-05,285,-2.4441322997264514e-08
0.01,0.017012542798525893,0.006742551895916062,1,2,179,-2.0163690284796113e-05,282,-2.4619890457626513e-08
0.01,0.020309176209047358,0.006606295704852917,1,2,176,-2.000133044988151e-05,279,-2.4784796096507444e-08
0.01,0.024244620170823284,0.006450925003130773,1,2,172,-1.9784850669995503e-05,275,-2.5012453438679523e-08
0.01,0.028942661247167517,0.006275088220104752,1,3,167,-1.9506667975955777e-05,271,-2.526770463206707e-08
0.01,0.0345510729459222,0.006077778334337485,1,3,162,-1.9236068251098258e-05,266,-2.5579877993481726e-08
0.01,0.04124626382901352,0.0058584793582958285,1,4,156,-1.890037286758093e-05,261,-2.5926437404089065e-08
0.01,0.04923882631706739,0.00561731517524603,1,5,149,-1.8507437213067736e-05,255,-2.6363870673885664e-08
0.01,0.05878016072274912,0.00535518299706051,1,6,142,-1.8111631403812813e-05,249,-2.683204652416713e-08
0.01,0.07017038286703829,0.005073849609797892,1,7,135,-1.7713185417074724e-05,243,-2.733516268067087e-08
0.01,0.0837677640068292,0.0047759876807429505,1,8,127,-1.7258190913393702e-05,236,-2.7971136002258838e-08
0.01,0.1,0.004465133339173028,1,10,119,-1.677464001001666e-05,230,-2.85768995059909e-08
0.01,0.1193776641714437,0.0041455556621858,1,12,110,-1.6229402940147218e-05,223,-2.9347925750718295e-08
0.01,0.14251026703029984,0.003822042568869709,1,14,102,-1.5731898837118053e-05,217,-3.00801124992697e-08
0.01,0.17012542798525893,0.0034996230672297442,1,17,93,-1.5138191553944115e-05,211,-3.089426847743697e-08
0.01,0.20309176209047358,0.0031832587326606596,1,20,85,-1.4589284252124092e-05,206,-3.1647037423262675e-08
0.01,0.24244620170823283,0.0028775438668337183,1,24,77,-1.3991045151834293e-05,202,-3.231188256774664e-08
0.01,0.28942661247167517,0.002586451912574179,1,29,69,-1.3339917750504983e-05,199,-3.285694027217976e-08
0.01,0.345510729459222,0.0023131559838294262,1,35,62,-1.2689770790717396e-05,198,-3.304627810082655e-08
0.01,0.41246263829013524,0.0020599368258927483,1,41,55,-1.2035635164006166e-05,197,-3.3247610950293274e-08
0.01,0.49238826317067413,0.0018281763029767536,1,49,49,-1.1345214113646727e-05,199,-3.278963616660904e-08
0.01,0.5878016072274915,0.0016184223157956787,1,59,43,-1.057419513445065e-05,203,-3.184998534473087e-08
0.01,0.701703828670383,0.0014305039895945641,1,70,38,-9.833622355887432e-06,209,-3.0444651256617436e-08
0.01,0.837677640068292,0.00126367428196418,1,84,34,-9.055880520676551e-06,219,-2.821146579650016e-08
0.01,1.0,0.0011167596689381526,1,100,30,-8.249561953655493e-06,231,-2.569956994908253e-08
0.01,1.1937766417144369,0.0009883014833139533,1,119,26,-7.399932607233284e-06,246,-2.28392981704731e-08
0.01,1.4251026703029992,0.0008766790883675322,1,143,23,-6.530238577599506e-06,267,-1.9435233861903292e-08
0.01,1.7012542798525891,0.0007802101485022324,1,170,21,-5.730501233461089e-06,292,-1.614225699566504e-08
0.01,2.030917620904737,0.0006972271675139,1,203,19,-4.89886996933932e-06,323,-1.2891763077208737e-08
0.01,2.424462017082328,0.000626132049972874,1,242,17,-4.0719277494439966e-06,360,-9.907366786968362e-09
0.01,2.8942661247167516,0.00056543185049192,1,289,15,-3.247702857422432e-06,405,-7.2171174609387386e-09
0.01,3.4551072945922217,0.0005137593938068241,1,346,14,-2.558590072062474e-06,461,-5.086660183026788e-09
0.01,4.1246263829013525,0.0004698823779220941,1,412,12,-1.8750622605337129e-06,525,-3.3423569706483297e-09
0.01,4.923882631706742,0.00043270416960579117,1,492,12,-1.3068049187451533e-06,605,-2.0386972211312845e-09
0.01,5.878016072274912,0.0004012589546127739,1,588,11,-7.057485469322276e-07,700,-9.628220285569271e-10
0.01,7.01703828670383,0.0003747033364201718,1,702,10,-1.376923535321843e-07,813,-1.6333612518645825e-10
0.01,8.376776400682925,0.00035230595620261505,1,838,9,3.9558910174837037e-07,948,
0.01,10.0,0.0003334362650520465,1,1000,9,8.363372838667323e-07,1110,
0.011937766417144363,0.01,0.008404819295026088,1,1,224,-2.2602981124451463e-05,326,-2.2648277679811085e-08
0.011937766417144363,0.011937766417144363,0.00829940174430628,1,1,221,-2.2440621289470993e-05,323,-2.275925080068052e-08
0.011937766417144363,0.014251026703029978,0.008177084071864038,1,1,218,-2.2278261454490534e-05,320,-2.2872958372166874e-08
0.011937766417144363,0.017012542798525893,0.00803586263912152,1,2,214,-2.205788835879876e-05,317,-2.300092633868484e-08
0.011937766417144363,0.020309176209047358,0.00787375125192801,1,2,209,-2.1787288633941123e-05,312,-2.3202650302386713e-08
0.011937766417144363,0.024244620170823284,0.007688884178472666,1,2,205,-2.1570808854055113e-05,308,-2.3370323785541833e-08
0.011937766417144363,0.028942661247167517,0.007479647492785791,1,3,199,-2.1238506215043874e-05,303,-2.3598340238937638e-08
0.011937766417144363,0.0345510729459222,0.007244835982232061,1,3,193,-2.0913786545214862e-05,297,-2.3874185553898245e-08
0.011937766417144363,0.04124626382901352,0.00698382756034347,1,4,186,-2.0523971216726023e-05,291,-2.417428883006599e-08
0.011937766417144363,0.04923882631706739,0.0066967606762810385,1,5,178,-2.0076915617241327e-05,284,-2.454390662254441e-08
0.011937766417144363,0.05878016072274912,0.006384693659905523,1,6,170,-1.962698986301492e-05,277,-2.493899601399609e-08
0.011937766417144363,0.07017038286703829,0.006049720024903601,1,7,161,-1.9120303986333813e-05,269,-2.5425936152039643e-08
0.011937766417144363,0.0837677640068292,0.005695012635286244,1,8,151,-1.8557069592709774e-05,260,-2.6026745571822966e-08
0.011937766417144363,0.1,0.005324774263951266,1,10,142,-1.801939874436132e-05,253,-2.6538142480649956e-08
0.011937766417144363,0.1193776641714437,0.004944083226509221,1,12,132,-1.742004172952029e-05,245,-2.717635215213774e-08
0.011937766417144363,0.14251026703029984,0.004558639259171599,1,14,121,-1.676017779157661e-05,236,-2.7980263425002686e-08
0.011937766417144363,0.17012542798525893,0.004174433211936176,1,17,111,-1.6112350563431224e-05,229,-2.8669662924254846e-08
0.011937766417144363,0.20309176209047358,0.00379737959866685,1,20,101,-1.545520337166809e-05,222,-2.9438482612701127e-08
0.011937766417144363,0.24244620170823283,0.0034329589743932656,1,24,91,-1.4748724381435344e-05,216,-3.01609905550825e-08
0.011937766417144363,0.28942661247167517,0.0030859149891985793,1,29,82,-1.4043477035134526e-05,212,-3.066261361383084e-08
0.011937766417144363,0.345510729459222,0.002760039477012699,1,35,73,-1.3285090185403932e-05,209,-3.103993033972881e-08
0.011937766417144363,0.41246263829013524,0.002458061645116444,1,41,65,-1.2576834618913177e-05,207,-3.1285658256002927e-08
0.011937766417144363,0.49238826317067413,0.002181639280562204,1,49,58,-1.1832293624212556e-05,208,-3.097459063929988e-08
0.011937766417144363,0.5878016072274915,0.0019314353036294586,1,59,51,-1.1007154714310661e-05,211,-3.023943602832599e-08
0.011937766417144363,0.701703828670383,0.0017072545123967818,1,70,45,-1.0212461988264938e-05,216,-2.909533329990011e-08
0.011937766417144363,0.837677640068292,0.0015082132835669859,1,84,40,-9.38060020557156e-06,225,-2.7190145523395827e-08
0.011937766417144363,1.0,0.0013329179411200088,1,100,35,-8.520162867003458e-06,236,-2.4985814859247678e-08
0.011937766417144363,1.1937766417144369,0.0011796333417252861,1,119,31,-7.67052654487455e-06,251,-2.2298042281612064e-08
0.011937766417144363,1.4251026703029992,0.0010464299093211015,1,143,28,-6.8008406446787646e-06,272,-1.9103484956962823e-08
0.011937766417144363,1.7012542798525891,0.0009313034142232072,1,170,25,-5.946981025789689e-06,296,-1.6029598452263312e-08
0.011937766417144363,2.030917620904737,0.0008322664667514134,1,203,22,-5.0612283859808894e-06,326,-1.2911296903012474e-08
0.011937766417144363,2.424462017082328,0.0007474137917329796,1,242,20,-4.234286192587592e-06,363,-1.0010132842996672e-08
0.011937766417144363,2.8942661247167516,0.0006749650428560071,1,289,18,-3.4100626939604907e-06,408,-7.381088082165564e-09
0.011937766417144363,3.4551072945922217,0.000613289542737256,1,346,16,-2.666829963087849e-06,463,-5.218845328939039e-09
0.011937766417144363,4.1246263829013525,0.0005609172561811465,1,412,15,-2.0374220970717684e-06,528,-3.5557104660938366e-09
0.011937766417144363,4.923882631706742,0.000516539826905447,1,492,14,-1.4150465279834543e-06,607,-2.180349041576971e-09
0.011937766417144363,5.878016072274912,0.00047900485732304496,1,588,13,-8.139884379575979e-07,702,-1.098499916272062e-09
0.011937766417144363,7.01703828670383,0.000447305933234114,1,702,12,-2.4593224455755416e-07,815,-2.889920617597581e-10
0.011937766417144363,8.376776400682925,0.00042057027356910334,1,838,11,2.8734921074131835e-07,950,
0.011937766417144363,10.0,0.000398045357901648,1,1000,11,7.280973928596802e-07,1112,
0.014251026703029978,0.01,0.010012852586530225,1,1,266,-2.4876018814177803e-05,368,-2.13344929795693e-08
0.014251026703029978,0.011937766417144363,0.009887538736048382,1,1,263,-2.4713658979197343e-05,365,-2.1415649028767196e-08
0.014251026703029978,0.014251026703029978,0.009742126401702411,1,1,259,-2.449717919922342e-05,361,-2.1526519507226202e-08
0.014251026703029978,0.017012542798525893,0.009574229529103718,1,2,255,-2.427680610263028e-05,358,-2.1617814873223758e-08
0.014251026703029978,0.020309176209047358,0.009381481478083101,1,2,250,-2.4006206377772754e-05,353,-2.1764466344308936e-08
0.014251026703029978,0.024244620170823284,0.009161657287744734,1,2,244,-2.3681486707943736e-05,347,-2.1947624381782887e-08
0.014251026703029978,0.028942661247167517,0.00891282968805023,1,3,237,-2.3295064123961e-05,341,-2.2143597076008555e-08
0.014251026703029978,0.0345510729459222,0.008633555638280556,1,3,230,-2.2916224509160475e-05,334,-2.2379125497227026e-08
0.014251026703029978,0.04124626382901352,0.008323083885936926,1,4,221,-2.2418169290728633e-05,326,-2.2667511921869193e-08
0.014251026703029978,0.04923882631706739,0.007981566368837938,1,5,212,-2.1916993746272437e-05,318,-2.2973787993996263e-08
0.014251026703029978,0.05878016072274912,0.007610248469031775,1,6,202,-2.1358828102102923e-05,309,-2.334298153235292e-08
0.014251026703029978,0.07017038286703829,0.007211607230235969,1,7,192,-2.0798022280450413e-05,300,-2.3742034566724218e-08
0.014251026703029978,0.0837677640068292,0.006789405245236609,1,8,181,-2.0180667941854882e-05,290,-2.422649212707669e-08
0.014251026703029978,0.1,0.00634863332804875,1,10,169,-1.948063725859182e-05,280,-2.4753033365427977e-08
0.014251026703029978,0.1193776641714437,0.0058953282742429825,1,12,157,-1.877304035380787e-05,270,-2.533473731957877e-08
0.014251026703029978,0.14251026703029984,0.005436271586869703,1,14,145,-1.8059056470892687e-05,260,-2.5984253914953506e-08
0.014251026703029978,0.17012542798525893,0.004978596969141734,1,17,132,-1.7248869407832746e-05,250,-2.670103623503521e-08
0.014251026703029978,0.20309176209047358,0.004529352894156639,1,20,120,-1.648348232612665e-05,241,-2.742675927808095e-08
0.014251026703029978,0.24244620170823283,0.004095076147669727,1,24,109,-1.57228833909224e-05,234,-2.8026530108596078e-08
0.014251026703029978,0.28942661247167517,0.003681429871447264,1,29,98,-1.4909396154678578e-05,228,-2.8562061599001108e-08
0.014251026703029978,0.345510729459222,0.003292946071023094,1,35,88,-1.4096889359976475e-05,224,-2.8887068360607533e-08
0.014251026703029978,0.41246263829013524,0.0029328920080177547,1,41,78,-1.3280393910292302e-05,220,-2.9251968965401546e-08
0.014251026703029978,0.49238826317067413,0.002603258256150751,1,49,69,-1.2427613026015238e-05,219,-2.91728005305522e-08
0.014251026703029978,0.5878016072274915,0.0023048487475154974,1,59,61,-1.1548354189135671e-05,221,-2.858503512162295e-08
0.014251026703029978,0.701703828670383,0.0020374429270051545,1,70,54,-1.0699541515607451e-05,225,-2.7647394097176876e-08
0.014251026703029978,0.837677640068292,0.0017999975655446983,1,84,48,-9.81355978543157e-06,233,-2.6030662560826445e-08
0.014251026703029978,1.0,0.0015908592304541935,1,100,42,-8.89900249970428e-06,243,-2.4116537939577995e-08
0.014251026703029978,1.1937766417144369,0.0014079653360406362,1,119,37,-7.995252030048863e-06,257,-2.1726228342524085e-08
0.014251026703029978,1.4251026703029992,0.001249019657815497,1,143,33,-7.071439175972862e-06,277,-1.8807019085034207e-08
0.014251026703029978,1.7012542798525891,0.001111635432104938,1,170,30,-6.217582095570884e-06,301,-1.5901744489951108e-08
0.014251026703029978,2.030917620904737,0.0009934447545293158,1,203,26,-5.277708178309489e-06,330,-1.2935559260562473e-08
0.014251026703029978,2.424462017082328,0.0008921767023360155,1,242,24,-4.450765981936062e-06,367,-1.0138419093248434e-08
0.014251026703029978,2.8942661247167516,0.0008057086407606082,1,289,21,-3.572422530498535e-06,411,-7.536756393456824e-09
0.014251026703029978,3.4551072945922217,0.0007320959338145695,1,346,19,-2.8291897996259047e-06,466,-5.40954072586215e-09
0.014251026703029978,4.1246263829013525,0.0006695851948479026,1,412,18,-2.199781933609827e-06,531,-3.760310997623636e-09
0.014251026703029978,4.923882631706742,0.0006166156480634871,1,492,16,-1.5232907209665579e-06,609,-2.31855513084712e-09
0.014251026703029978,5.878016072274912,0.0005718123985261105,1,588,15,-9.222283289829677e-07,704,-1.2312794779478876e-09
0.014251026703029978,7.01703828670383,0.0005339746006375786,1,702,14,-3.541730915836968e-07,817,-4.12308604870427e-10
0.014251026703029978,8.376776400682925,0.0005020607733124415,1,838,13,1.7910743558147793e-07,952,
0.014251026703029978,10.0,0.00047517288032420887,1,1000,13,6.198575018526286e-07,1114,
0.017012542798525893,0.01,0.011923854455259697,2,1,317,-3.7885792098337964e-05,420,-2.7633692267204933e-08
0.017012542798525893,0.011937766417144363,0.011775009421209449,2,1,313,-3.766931231845212e-05,416,-2.7800230493322598e-08
0.017012542798525893,0.014251026703029978,0.011602279617096443,2,1,309,-3.7452832538565926e-05,412,-2.7970748721856554e-08
0.017012542798525893,0.017012542798525893,0.011402824933293022,2,2,303,-3.712074191191684e-05,407,-2.8207250692945927e-08
0.017012542798525893,0.020309176209047358,0.011173826449584496,2,2,297,-3.679602224208764e-05,401,-2.847989337622882e-08
0.017012542798525893,0.024244620170823284,0.010912631379907707,2,2,290,-3.6417182627287114e-05,394,-2.881106220513221e-08
0.017012542798525893,0.028942661247167517,0.010616938205459624,2,3,282,-3.596971118700068e-05,387,-2.9172515155718315e-08
0.017012542798525893,0.0345510729459222,0.010285018261187533,2,3,274,-3.553675162722867e-05,379,-2.958930193774244e-08
0.017012542798525893,0.04124626382901352,0.009915962587751683,2,4,264,-3.497446563496406e-05,370,-3.0098507431122256e-08
0.017012542798525893,0.04923882631706739,0.009509933745401756,2,5,253,-3.435200524232482e-05,360,-3.0698842933266154e-08
0.017012542798525893,0.05878016072274912,0.009068392969584135,2,6,241,-3.36698487708356e-05,349,-3.140844101757052e-08
0.017012542798525893,0.07017038286703829,0.008594265970108256,2,7,229,-3.2982556412686776e-05,338,-3.217810381725539e-08
0.017012542798525893,0.0837677640068292,0.008092008897361662,2,8,215,-3.218229385020391e-05,325,-3.317762252598341e-08
0.017012542798525893,0.1,0.007567542298805237,2,10,201,-3.1326723902747985e-05,313,-3.419948024317466e-08
0.017012542798525893,0.1193776641714437,0.007028036452585801,2,12,187,-3.0456359289271194e-05,301,-3.533220335182273e-08
0.017012542798525893,0.14251026703029984,0.00648155468083026,2,14,172,-2.951935165793264e-05,288,-3.671561151484159e-08
0.017012542798525893,0.17012542798525893,0.0059365873523286716,2,17,158,-2.8554558620331512e-05,277,-3.802204876209256e-08
0.017012542798525893,0.20309176209047358,0.005401531436387095,2,20,144,-2.7571353372264153e-05,266,-3.9500506263988755e-08
0.017012542798525893,0.24244620170823283,0.004884182082541438,2,24,130,-2.6491739242058573e-05,256,-4.1008884275632465e-08
0.017012542798525893,0.28942661247167517,0.004391300104824172,2,29,117,-2.5362548615761742e-05,248,-4.2341483498767516e-08
0.017012542798525893,0.345510729459222,0.003928303276363296,2,35,104,-2.4128787916565997e-05,241,-4.363252787805786e-08
0.017012542798525893,0.41246263829013524,0.0034991049583499383,2,41,93,-2.299460845664291e-05,236,-4.464972515852992e-08
0.017012542798525893,0.49238826317067413,0.0031060977905583097,2,49,83,-2.1736436918172174e-05,234,-4.500297498586371e-08
