VDD,gm_mean,gm_std
0.05277,1.728447938834404e-05,1.4093431239818398e-06
0.06,2.08480842767043e-05,1.6379920328078803e-06
0.07,2.628811410623594e-05,1.9666974708635527e-06
0.08,3.231603911462366e-05,2.307496129901605e-06
0.09,3.891676886692461e-05,2.6577463479775345e-06
0.1,4.607517385600179e-05,3.015325320892429e-06
0.11,5.3782403758149975e-05,3.3786973722718033e-06
0.12,6.204362391469252e-05,3.746814455624327e-06
0.13,7.087688922460574e-05,4.118788292353466e-06
0.14,7.949711818697803e-05,4.457385823505254e-06
0.15,8.940458466294488e-05,4.828437262562416e-06
