VDD,gm
0.1,6.718367479278914e-06
0.105,7.221974588490656e-06
0.11,7.836351741899253e-06
0.115,8.338313500681841e-06
0.12,8.95222655839436e-06
0.125,9.616152438137475e-06
0.13,1.0432641820094185e-05
0.135,1.1033673624341648e-05
0.14,1.1813898699528307e-05
0.145,1.2644527178933241e-05
0.15,1.3512766484726761e-05
0.155,1.468033376996866e-05
0.16,1.5392113394171305e-05
0.165,1.6402564190861683e-05
0.17,1.7458934445286365e-05
0.175,1.8569150263586216e-05
0.18,1.972932899327697e-05
0.185,2.0941355206654222e-05
0.19,2.221351183511037e-05
0.195,2.3534986251896034e-05
0.2,2.4976928359769057e-05
0.205,2.6419620148280265e-05
