beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.01,0.01,0.003790767991973091,1,1,31,-4.294956378463353e-06,133,-1.308241358045493e-08
0.01,0.014251026703029978,0.0037027426108672784,1,1,30,-4.240836413742887e-06,132,-1.3211328391722389e-08
0.01,0.017012542798525893,0.0036477181583576585,1,2,30,-4.239134033397233e-06,133,-1.3165012526078362e-08
0.01,0.020309176209047358,0.0035841353530609676,1,2,29,-4.185014068656048e-06,132,-1.3298424113937235e-08
0.01,0.028942661247167517,0.003427664930239257,1,3,28,-4.128296471130308e-06,132,-1.3386175327919287e-08
0.01,0.0345510729459222,0.0033331381396444273,1,3,27,-4.074176506389128e-06,131,-1.3530974780435495e-08
0.01,0.04124626382901352,0.0032269036284261884,1,4,26,-4.0166401728708535e-06,131,-1.3624966665097877e-08
0.01,0.04923882631706739,0.0031086256707310725,1,5,25,-3.958354890870224e-06,131,-1.3720467559342198e-08
0.01,0.05878016072274912,0.002978305930739641,1,6,24,-3.899384402106098e-06,131,-1.3817804401509915e-08
0.01,0.07017038286703829,0.0028363589859139145,1,7,23,-3.839786992597988e-06,131,-1.3917314217462806e-08
0.01,0.0837677640068292,0.002683669593924985,1,8,22,-3.779616017524596e-06,131,-1.4019347246011112e-08
0.01,0.1,0.0025216191448217394,1,10,21,-3.7118648580662695e-06,132,-1.4044134915120205e-08
0.01,0.1193776641714437,0.002352070397185234,1,12,19,-3.5882357867293125e-06,132,-1.4256002331066002e-08
0.01,0.14251026703029984,0.0021773042580970326,1,14,18,-3.5172598442027778e-06,133,-1.4274593523550234e-08
0.01,0.17012542798525893,0.0019999096449194818,1,17,16,-3.381514788650503e-06,134,-1.440168138266824e-08
0.01,0.20309176209047358,0.0018226359432661683,1,20,15,-3.2978178437465296e-06,136,-1.4307235764627027e-08
0.01,0.24244620170823283,0.0016482250793048534,1,24,13,-3.1478309162902537e-06,138,-1.4314829087268095e-08
0.01,0.28942661247167517,0.0014792445529485541,1,29,12,-3.0391344648961476e-06,142,-1.396661059235362e-08
0.01,0.345510729459222,0.001317942570951505,1,35,11,-2.9177426863455027e-06,147,-1.3489332807884893e-08
0.01,0.41246263829013524,0.0011661417419924936,1,41,10,-2.79586043428698e-06,152,-1.3004002019939441e-08
0.01,0.49238826317067413,0.0010251801139419241,1,49,8,-2.598186145964162e-06,158,-1.2467303963359702e-08
0.01,0.5878016072274915,0.0008958998821153653,1,59,7,-2.435596018846613e-06,167,-1.1537641017748049e-08
0.01,0.701703828670383,0.0007786770052041207,1,70,6,-2.267850426366757e-06,177,-1.0557962878802407e-08
0.01,0.837677640068292,0.0006734805656241057,1,84,6,-2.1327461829945894e-06,191,-9.321443107493835e-09
0.01,1.0,0.0005799493026523845,1,100,5,-1.937145911776419e-06,206,-8.156403839058607e-09
0.01,1.1937766417144369,0.0004974737918976819,1,119,4,-1.7315539007099923e-06,224,-6.948450644903661e-09
0.01,1.4251026703029992,0.0004252752866836651,1,143,3,-1.508515999778157e-06,247,-5.673245580211196e-09
0.01,1.7012542798525891,0.0003624753069846006,1,170,3,-1.3435381763795192e-06,274,-4.587020062750151e-09
0.01,2.030917620904737,0.0003081529331247602,1,203,3,-1.1709884633651816e-06,307,-3.5930913266805205e-09
0.01,2.424462017082328,0.00026138903039588237,1,242,2,-9.453813178535626e-07,345,-2.6436837747582847e-09
0.01,2.8942661247167516,0.00022129817271050178,1,289,2,-7.744440639483525e-07,392,-1.914098032497164e-09
