VDD,gm_LL
0.1,8.00759221855304e-06
0.105,8.643973863190126e-06
0.11,9.31629244760705e-06
0.115,1.002443868897746e-05
0.12,1.0771728950265058e-05
0.125,1.1558303963181111e-05
0.13,1.245563605807402e-05
0.135,1.3255514623561446e-05
0.14,1.4251080081349891e-05
0.145,1.5126236262243135e-05
0.15,1.6133162403054596e-05
0.155,1.7284946248708142e-05
0.16,1.8291717678940702e-05
0.165,1.944710722719772e-05
0.17,2.0656285652132377e-05
0.175,2.1920355654560534e-05
0.18,2.323995340490176e-05
0.185,2.461680156828978e-05
0.19,2.6052631563173887e-05
0.195,2.7549238096194074e-05
0.2,2.910874988280379e-05
0.205,3.0729960285246866e-05
