beta_theory,gamma_theory,alpha_theory,m_beta,m_gamma,m_alpha,gm,area,fom
0.01,0.01,0.0038239875511475157,2,2,151,-1.8263104276122657e-05,355,-3.566733902844047e-08
0.01,0.011937766417144363,0.0037945172220659146,2,2,149,-1.8154864396864127e-05,353,-3.574073627227366e-08
0.01,0.014251026703029978,0.0037599451273599765,2,3,148,-1.8099719029188336e-05,353,-3.5705277024359536e-08
0.01,0.017012542798525893,0.0037195170081416613,2,3,146,-1.799147914992987e-05,351,-3.5779729436659516e-08
0.01,0.020309176209047358,0.003672416595253696,2,4,145,-1.7935614331578816e-05,351,-3.574255546348907e-08
0.01,0.024244620170823284,0.0036177800808919265,2,5,142,-1.7770814235130604e-05,349,-3.577920237402473e-08
0.01,0.028942661247167517,0.0035547195184945585,2,6,140,-1.7659461909252738e-05,348,-3.577686772539047e-08
0.01,0.0345510729459222,0.003482357011223362,2,7,137,-1.7493339914488148e-05,346,-3.581178331659054e-08
0.01,0.04124626382901352,0.003399871070394575,2,8,134,-1.7326591443117866e-05,344,-3.5846142508933024e-08
0.01,0.04923882631706739,0.0033065554996048706,2,10,130,-1.70995301539606e-05,342,-3.583304726311945e-08
0.01,0.05878016072274912,0.0032018894627366986,2,12,126,-1.6870209827051363e-05,340,-3.581481366136923e-08
0.01,0.07017038286703829,0.0030856150108608997,2,14,122,-1.6638746700919425e-05,338,-3.579148748261793e-08
0.01,0.0837677640068292,0.0029578154679531683,2,17,116,-1.628789390233293e-05,335,-3.5747287117752904e-08
0.01,0.1,0.002818985191952192,2,20,111,-1.5987132752142562e-05,333,-3.565055024561271e-08
0.01,0.1193776641714437,0.002670079121548031,2,24,105,-1.5616604240266652e-05,331,-3.547615683840675e-08
0.01,0.14251026703029984,0.0025125301521993306,2,29,99,-1.5226781214982415e-05,330,-3.516902534872139e-08
0.01,0.17012542798525893,0.0023482245990382898,2,34,92,-1.4775424315357407e-05,328,-3.487401887121744e-08
0.01,0.20309176209047358,0.002179431106869523,2,41,86,-1.4338982399087246e-05,329,-3.426771436546995e-08
0.01,0.24244620170823283,0.002008685768526491,2,48,79,-1.383896213742807e-05,329,-3.365833772115009e-08
0.01,0.28942661247167517,0.0018386443490553803,2,58,72,-1.3274904111873303e-05,332,-3.262609150578378e-08
0.01,0.345510729459222,0.0016719192201457352,2,69,66,-1.2735269196103548e-05,337,-3.139549648975335e-08
0.01,0.41246263829013524,0.0015109218785298029,2,82,60,-1.2147886798130817e-05,344,-2.989145373555811e-08
0.01,0.49238826317067413,0.001357730717528739,2,98,53,-1.144077142334509e-05,353,-2.8032861470511343e-08
0.01,0.5878016072274915,0.001213998428260805,2,118,48,-1.0761843604680717e-05,368,-2.5750965746268944e-08
0.01,0.701703828670383,0.0010809056645303707,2,140,43,-1.0053628658873973e-05,385,-2.3395766217243723e-08
0.01,0.837677640068292,0.0009591596118294502,2,168,38,-9.252108419688331e-06,408,-2.067417862819166e-08
0.01,1.0,0.0008490297778660702,2,200,33,-8.415980282571832e-06,435,-1.793228561018459e-08
0.01,1.1937766417144369,0.0007504097348948176,2,239,30,-7.6250525398023265e-06,471,-1.518329856591463e-08
0.01,1.4251026703029992,0.0006628927756595833,2,285,26,-6.747621039787319e-06,513,-1.2494668987088585e-08
0.01,1.7012542798525891,0.0005858508516644775,2,340,23,-5.895838700961132e-06,565,-1.001127267024576e-08
0.01,2.030917620904737,0.0005185087927333072,2,406,20,-5.027553919744428e-06,628,-7.749004191961203e-09
0.01,2.424462017082328,0.0004600087655523556,2,485,18,-4.213930987527158e-06,705,-5.822598501529816e-09
0.01,2.8942661247167516,0.00040946258456483683,2,579,16,-3.4190709068844656e-06,797,-4.202191272410975e-09
0.01,3.4551072945922217,0.00036599151828012934,2,691,14,-2.6750599576047853e-06,907,-2.902751809545537e-09
0.01,4.1246263829013525,0.0003287545658135666,2,825,13,-2.038092808851325e-06,1040,-1.9345554036480797e-09
