VDD,P_avg_W,I_avg_A,Location
0.1,1.9384782946858518e-07,1.9384782946858523e-06,Design 1
0.12,2.725286347232256e-07,2.27107195602688e-06,Design 1
0.13,3.176077058734553e-07,2.4431361990265787e-06,Design 1
0.14,3.676314852542264e-07,2.625939180387331e-06,Design 1
0.15,4.236793123946604e-07,2.8245287492977357e-06,Design 1
0.16,4.87724603167772e-07,3.0482787697985747e-06,Design 1
0.17,5.534678513189277e-07,3.2556932430525166e-06,Design 1
0.18,6.187996025452203e-07,3.4377755696956696e-06,Design 1
0.19,6.882583106298589e-07,3.622412161209783e-06,Design 1
0.2,7.628637441357342e-07,3.8143187206786705e-06,Design 1
0.11,1.7389212180003347e-07,1.5808374709093953e-06,Design 2
0.12,2.0450339533634862e-07,1.7041949611362389e-06,Design 2
0.121,2.0775713966928658e-07,1.7170011542916247e-06,Design 2
0.122,2.1104903893612997e-07,1.7299101552141802e-06,Design 2
0.123,2.1437991689213007e-07,1.7429261535945534e-06,Design 2
0.124,2.1775061372537702e-07,1.7560533364949761e-06,Design 2
0.125,2.2116198613447543e-07,1.7692958890758035e-06,Design 2
0.126,2.246149132212313e-07,1.7826580414383434e-06,Design 2
0.127,2.2811030012251768e-07,1.7961440954528954e-06,Design 2
0.128,2.3164908497061122e-07,1.8097584763329e-06,Design 2
0.129,2.3523224789501323e-07,1.8235057976357613e-06,Design 2
0.13,2.388608253563194e-07,1.8373909642793796e-06,Design 2
0.14,2.7797471557744004e-07,1.985533682696e-06,Design 2
0.15,3.21241228795808e-07,2.141608191972053e-06,Design 2
0.16,3.607239829111272e-07,2.254524893194545e-06,Design 2
0.17,4.018858471367568e-07,2.364034394922098e-06,Design 2
0.18,4.464312486111662e-07,2.4801736033953684e-06,Design 2
0.19,4.948214484541089e-07,2.604323412916362e-06,Design 2
0.2,5.473559977888405e-07,2.7367799889442025e-06,Design 2
0.121,1.5736480586657218e-07,1.3005355856741504e-06,Design 3
0.123,1.6258975887226444e-07,1.3218679583110932e-06,Design 3
0.124,1.6523986536535949e-07,1.3325795593980606e-06,Design 3
0.125,1.6793337540294798e-07,1.3434670032235839e-06,Design 3
0.127,1.7339923342762853e-07,1.3653482947057363e-06,Design 3
0.129,1.789898466679376e-07,1.3875181912243226e-06,Design 3
0.13,1.8183354626409122e-07,1.3987195866468555e-06,Design 3
0.14,2.1223626960734975e-07,1.5159733543382123e-06,Design 3
0.15,2.4637667808164125e-07,1.6425111872109415e-06,Design 3
0.16,2.822557634897989e-07,1.764098521811243e-06,Design 3
0.17,2.951898820984694e-07,1.7364110711674667e-06,Design 3
0.18,3.5519935383772695e-07,1.973329743542927e-06,Design 3
0.19,3.6538265456502545e-07,1.9230666029738186e-06,Design 3
0.2,4.3778674768530906e-07,2.188933738426545e-06,Design 3
0.11,8.857089676362639e-08,8.051899705784217e-07,Design 4
0.114,9.532269700264815e-08,8.361640087951591e-07,Design 4
0.116,9.883963844709164e-08,8.520658486818244e-07,Design 4
0.118,1.0245510330456718e-07,8.682635873268405e-07,Design 4
0.12,1.0617256970697841e-07,8.847714142248202e-07,Design 4
0.13,1.2641750731386867e-07,9.724423639528357e-07,Design 4
0.14,1.4977025019658725e-07,1.0697875014041944e-06,Design 4
0.15,1.7594162704796255e-07,1.1729441803197503e-06,Design 4
0.16,2.0266247952794815e-07,1.2666404970496756e-06,Design 4
0.17,2.3035903830344123e-07,1.3550531664908305e-06,Design 4
0.18,2.602164580969073e-07,1.4456469894272625e-06,Design 4
0.19,2.9295007623823505e-07,1.5418425065170266e-06,Design 4
0.2,3.2910670756640376e-07,1.6455335378320188e-06,Design 4
